,action_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,game_date,matchup,opponent,shot_id,time_remaining
8551,0,-166,189,7,3,0,9,48,25,0.0,2,3,3365,0,19,8552,468
8555,0,192,176,1,3,0,9,18,26,1.0,3,3,3365,0,19,8556,78
8556,0,192,174,0,3,0,9,51,25,0.0,3,3,3365,0,19,8557,51
8557,2,0,0,0,3,0,9,28,0,1.0,4,1,3365,0,19,8558,28
8558,0,238,59,11,4,0,9,17,24,1.0,0,4,3365,0,19,8559,677
8559,0,-131,156,10,4,0,9,50,20,0.0,2,0,3365,0,19,8560,650
8560,0,144,71,9,4,0,9,5,16,0.0,0,0,3365,0,19,8561,545
8561,0,148,219,6,4,0,9,49,26,1.0,3,3,3365,0,19,8562,409
8562,0,-197,186,5,4,0,9,35,27,1.0,2,3,3365,0,19,8563,335
8563,0,-214,130,4,4,0,9,28,25,0.0,2,3,3365,0,19,8564,268
8564,0,11,71,3,4,0,9,50,7,1.0,4,2,3365,0,19,8565,230
8565,3,-56,91,3,4,0,9,13,10,0.0,1,2,3365,0,19,8566,193
8566,0,-200,140,2,4,0,9,2,24,0.0,2,3,3365,0,19,8567,122
8567,1,0,0,1,4,0,9,17,0,1.0,4,1,3365,0,19,8568,77
8569,5,0,0,9,1,0,9,49,0,1.0,4,1,3367,1,17,8570,589
8570,18,10,204,9,1,0,9,19,20,1.0,4,0,3367,1,17,8571,559
8571,0,0,187,8,1,0,9,43,18,0.0,4,0,3367,1,17,8572,523
8572,28,62,36,7,1,0,9,39,7,0.0,4,2,3367,1,17,8573,459
8573,0,-3,257,6,1,0,9,45,25,0.0,4,3,3367,1,17,8574,405
8574,0,13,209,5,1,0,9,7,20,1.0,4,0,3367,1,17,8575,307
8575,25,52,13,3,1,0,9,51,5,1.0,4,2,3367,1,17,8576,231
8576,0,-26,82,2,1,0,9,24,8,0.0,4,2,3367,1,17,8577,144
8577,8,62,118,2,1,0,9,20,13,0.0,4,2,3367,1,17,8578,140
8578,4,0,0,1,1,0,9,44,0,1.0,4,1,3367,1,17,8579,104
8579,0,-223,20,5,2,0,9,44,22,1.0,1,6,3367,1,17,8580,344
8580,0,-54,109,4,2,0,9,44,12,0.0,4,2,3367,1,17,8581,284
8581,18,146,41,4,2,0,9,21,15,0.0,0,0,3367,1,17,8582,261
8582,0,57,41,3,2,0,9,57,7,0.0,4,2,3367,1,17,8583,237
8583,7,0,0,3,2,0,9,7,0,1.0,4,1,3367,1,17,8584,187
8584,0,103,176,1,2,0,9,31,20,1.0,3,0,3367,1,17,8585,91
8586,4,0,0,0,2,0,9,17,0,1.0,4,1,3367,1,17,8587,17
8587,0,-194,187,11,3,0,9,43,26,0.0,2,3,3367,1,17,8588,703
8588,0,-89,150,11,3,0,9,33,17,0.0,2,0,3367,1,17,8589,693
8589,4,0,0,10,3,0,9,43,0,1.0,4,1,3367,1,17,8590,643
8590,3,-100,30,9,3,0,9,36,10,1.0,1,0,3367,1,17,8591,576
8591,0,82,194,8,3,0,9,42,21,1.0,3,0,3367,1,17,8592,522
8593,0,113,243,7,3,0,9,39,26,1.0,3,3,3367,1,17,8594,459
8594,0,-174,199,6,3,0,9,22,26,1.0,2,3,3367,1,17,8595,382
8595,0,184,12,5,3,0,9,48,18,1.0,0,0,3367,1,17,8596,348
8596,0,107,248,4,3,0,9,47,27,1.0,3,3,3367,1,17,8597,287
8597,0,163,13,4,3,0,9,7,16,0.0,0,0,3367,1,17,8598,247
8598,5,0,0,2,3,0,9,30,0,1.0,4,1,3367,1,17,8599,150
8600,7,0,0,0,3,0,9,31,0,1.0,4,1,3367,1,17,8601,31
8601,0,118,132,0,3,0,9,1,17,0.0,3,0,3367,1,17,8602,1
8602,0,146,220,10,4,0,9,58,26,0.0,3,3,3367,1,17,8603,658
8603,2,0,0,10,4,0,9,48,0,0.0,4,1,3367,1,17,8604,648
8604,0,131,2,9,4,0,9,26,13,1.0,0,0,3367,1,17,8605,566
8607,16,-6,33,6,4,0,9,32,3,1.0,4,1,3367,1,17,8608,392
8608,0,117,233,5,4,0,9,30,26,1.0,3,3,3367,1,17,8609,330
8609,0,105,237,4,4,0,9,52,25,1.0,3,3,3367,1,17,8610,292
8611,0,-195,3,3,4,0,9,55,19,0.0,1,0,3367,1,17,8612,235
8613,0,192,186,2,4,0,9,55,26,0.0,3,3,3367,1,17,8614,175
8614,0,158,214,2,4,0,9,7,26,0.0,3,3,3367,1,17,8615,127
8615,0,144,0,10,1,0,9,45,14,0.0,0,0,3372,1,9,8616,645
8616,0,-110,102,7,1,0,9,31,15,0.0,1,0,3372,1,9,8617,451
8618,0,167,212,3,1,0,9,19,26,0.0,3,3,3372,1,9,8619,199
8619,4,0,0,1,1,0,9,35,0,1.0,4,1,3372,1,9,8620,95
8620,0,-174,0,2,2,0,9,8,17,0.0,1,0,3372,1,9,8621,128
8621,5,0,0,1,2,0,9,40,0,0.0,4,1,3372,1,9,8622,100
8622,2,0,0,7,3,0,9,4,0,0.0,4,1,3372,1,9,8623,424
8623,0,-168,84,6,3,0,9,13,18,0.0,1,0,3372,1,9,8624,373
8624,17,-43,15,4,3,0,9,10,4,0.0,4,2,3372,1,9,8625,250
8625,0,146,150,3,3,0,9,49,20,0.0,3,0,3372,1,9,8626,229
8626,0,166,5,1,3,0,9,55,16,0.0,0,0,3372,1,9,8627,115
8627,0,-192,176,11,4,0,9,49,26,0.0,2,3,3372,1,9,8628,709
8628,3,-36,74,10,4,0,9,43,8,1.0,4,2,3372,1,9,8629,643
8630,0,164,118,7,4,0,9,0,20,0.0,0,0,3372,1,9,8631,420
8631,0,110,230,5,4,0,9,1,25,1.0,3,3,3372,1,9,8632,301
8632,0,-182,120,3,4,0,9,20,21,0.0,1,0,3372,1,9,8633,200
8633,7,0,0,4,5,0,9,20,0,1.0,4,1,3372,1,9,8634,260
8634,0,0,84,2,5,0,9,25,8,0.0,4,2,3372,1,9,8635,145
8635,0,233,-18,2,5,0,9,12,23,1.0,0,4,3372,1,9,8636,132
8637,0,-174,-3,9,1,0,9,3,17,0.0,1,0,3374,0,15,8638,543
8638,4,0,0,8,1,0,9,43,0,1.0,4,1,3374,0,15,8639,523
8639,0,-235,64,8,1,0,9,8,24,0.0,1,6,3374,0,15,8640,488
8640,0,43,250,1,1,0,9,14,25,0.0,4,3,3374,0,15,8641,74
8641,12,0,0,0,1,0,9,45,0,1.0,4,1,3374,0,15,8642,45
8642,0,-194,18,0,1,0,9,17,19,1.0,1,0,3374,0,15,8643,17
8643,3,1,146,11,2,0,9,24,14,1.0,4,0,3374,0,15,8644,684
8644,0,-151,10,9,2,0,9,20,15,1.0,1,0,3374,0,15,8645,560
8645,0,-151,45,9,2,0,9,5,15,1.0,1,0,3374,0,15,8646,545
8646,0,105,151,8,2,0,9,18,18,1.0,3,0,3374,0,15,8647,498
8647,0,-82,258,4,2,0,9,53,27,0.0,4,3,3374,0,15,8648,293
8648,0,-195,187,2,2,0,9,9,27,1.0,2,3,3374,0,15,8649,129
8650,0,-195,161,0,2,0,9,11,25,0.0,2,3,3374,0,15,8651,11
8652,18,133,0,10,3,0,9,54,13,1.0,0,0,3374,0,15,8653,654
8653,0,-151,138,9,3,0,9,25,20,0.0,2,0,3374,0,15,8654,565
8654,25,-107,15,6,3,0,9,6,10,1.0,1,0,3374,0,15,8655,366
8655,0,-143,76,4,3,0,9,53,16,0.0,1,0,3374,0,15,8656,293
8656,0,-138,220,2,3,0,9,37,25,0.0,2,3,3374,0,15,8657,157
8657,0,87,248,7,4,0,9,40,26,1.0,3,3,3374,0,15,8658,460
8658,0,-182,0,6,4,0,9,32,18,0.0,1,0,3374,0,15,8659,392
8659,0,228,54,5,4,0,9,38,23,0.0,0,4,3374,0,15,8660,338
8661,2,0,0,2,4,0,9,43,0,0.0,4,1,3374,0,15,8662,163
8662,0,-148,222,0,4,0,9,56,26,0.0,2,3,3374,0,15,8663,56
8663,0,-232,5,0,4,0,9,40,23,1.0,1,6,3374,0,15,8664,40
8664,0,131,13,0,4,0,9,13,13,0.0,0,0,3374,0,15,8665,13
8665,0,-179,68,10,1,0,9,7,19,0.0,1,0,3376,0,22,8666,607
8666,2,0,0,9,1,0,9,52,0,1.0,4,1,3376,0,22,8667,592
8667,18,82,183,6,1,0,9,7,20,1.0,3,0,3376,0,22,8668,367
8669,0,-2,248,3,1,0,9,13,24,1.0,4,3,3376,0,22,8670,193
8670,11,0,0,2,1,0,9,44,0,1.0,4,1,3376,0,22,8671,164
8671,0,-125,7,1,1,0,9,1,12,0.0,1,0,3376,0,22,8672,61
8674,0,-241,12,5,2,0,9,22,24,0.0,1,6,3376,0,22,8675,322
8675,0,-122,225,3,2,0,9,58,25,0.0,2,3,3376,0,22,8676,238
8676,2,0,0,3,2,0,9,30,0,0.0,4,1,3376,0,22,8677,210
8678,0,54,17,1,2,0,9,58,5,0.0,4,2,3376,0,22,8679,118
8679,0,187,61,0,2,0,9,1,19,0.0,0,0,3376,0,22,8680,1
8680,0,-52,238,10,4,0,9,32,24,1.0,4,3,3376,0,22,8681,632
8682,0,163,110,11,1,0,9,2,19,0.0,0,0,3377,0,11,8683,662
8683,0,166,81,10,1,0,9,16,18,1.0,0,0,3377,0,11,8684,616
8684,0,10,71,9,1,0,9,57,7,0.0,4,2,3377,0,11,8685,597
8685,2,-8,25,8,1,0,9,28,2,0.0,4,1,3377,0,11,8686,508
8686,0,187,-5,7,1,0,9,57,18,0.0,0,0,3377,0,11,8687,477
8689,0,-69,243,6,1,0,9,14,25,0.0,4,3,3377,0,11,8690,374
8690,0,-138,145,4,1,0,9,32,20,1.0,2,0,3377,0,11,8691,272
8691,2,13,20,3,1,0,9,34,2,0.0,4,1,3377,0,11,8692,214
8692,26,0,31,1,1,0,9,21,3,1.0,4,1,3377,0,11,8693,81
8693,0,115,35,6,2,0,9,30,12,0.0,0,0,3377,0,11,8694,390
8695,0,-172,174,0,2,0,9,35,24,1.0,2,3,3377,0,11,8696,35
8696,0,-11,258,0,2,0,9,8,25,0.0,4,3,3377,0,11,8697,8
8698,0,5,201,9,3,0,9,40,20,0.0,4,0,3377,0,11,8699,580
8699,0,-49,-21,8,3,0,9,55,5,0.0,4,2,3377,0,11,8700,535
8700,0,195,173,4,3,0,9,22,26,1.0,3,3,3377,0,11,8701,262
8701,0,8,248,2,3,0,9,54,24,0.0,4,3,3377,0,11,8702,174
8703,15,11,30,0,3,0,9,40,3,1.0,4,1,3377,0,11,8704,40
8704,0,-118,235,5,4,0,9,46,26,0.0,2,3,3377,0,11,8705,346
8705,0,-3,268,4,4,0,9,10,26,0.0,4,3,3377,0,11,8706,250
8706,2,0,0,9,1,0,9,4,0,1.0,4,1,3379,0,23,8707,544
8707,0,-171,176,5,1,0,9,34,24,1.0,2,3,3379,0,23,8708,334
8709,6,0,0,2,1,0,9,32,0,1.0,4,1,3379,0,23,8710,152
8710,0,158,33,4,2,0,9,54,16,1.0,0,0,3379,0,23,8711,294
8711,0,98,92,4,2,0,9,14,13,0.0,0,0,3379,0,23,8712,254
8712,0,161,209,2,2,0,9,34,26,0.0,3,3,3379,0,23,8713,154
8713,5,0,0,2,2,0,9,15,0,1.0,4,1,3379,0,23,8714,135
8714,0,-43,43,1,2,0,9,44,6,1.0,4,2,3379,0,23,8715,104
8716,0,-195,12,11,3,0,9,1,19,1.0,1,0,3379,0,23,8717,661
8717,18,159,36,8,3,0,9,5,16,1.0,0,0,3379,0,23,8718,485
8718,0,-115,145,5,3,0,9,19,18,1.0,2,0,3379,0,23,8719,319
8719,8,161,15,4,3,0,9,14,16,1.0,0,0,3379,0,23,8720,254
8720,0,-11,242,0,3,0,9,28,24,1.0,4,3,3379,0,23,8721,28
8721,0,172,176,10,4,0,9,26,24,0.0,3,3,3379,0,23,8722,626
8723,0,-107,229,1,4,0,9,0,25,0.0,2,3,3379,0,23,8724,60
8724,0,148,10,10,1,0,9,9,14,0.0,0,0,3380,0,30,8725,609
8725,0,146,79,9,1,0,9,29,16,0.0,0,0,3380,0,30,8726,569
8726,0,164,184,9,1,0,9,25,24,1.0,3,3,3380,0,30,8727,565
8727,0,161,30,8,1,0,9,56,16,1.0,0,0,3380,0,30,8728,536
8728,0,89,68,8,1,0,9,17,11,1.0,0,0,3380,0,30,8729,497
8729,0,-135,94,6,1,0,9,29,16,1.0,1,0,3380,0,30,8730,389
8730,0,-128,207,5,1,0,9,54,24,1.0,2,3,3380,0,30,8731,354
8731,0,166,178,4,1,0,9,51,24,1.0,3,3,3380,0,30,8732,291
8732,0,-191,153,4,1,0,9,0,24,0.0,2,3,3380,0,30,8733,240
8733,0,-172,181,2,1,0,9,28,24,0.0,2,3,3380,0,30,8734,148
8734,2,0,0,1,1,0,9,13,0,1.0,4,1,3380,0,30,8735,73
8735,18,-153,72,0,1,0,9,40,16,0.0,1,0,3380,0,30,8736,40
8737,0,-187,164,8,2,0,9,14,24,0.0,2,3,3380,0,30,8738,494
8738,0,-2,68,7,2,0,9,31,6,0.0,4,2,3380,0,30,8739,451
8739,0,131,54,2,2,0,9,32,14,0.0,0,0,3380,0,30,8740,152
8740,0,158,202,0,2,0,9,0,25,1.0,3,3,3380,0,30,8741,0
8741,0,-200,153,10,3,0,9,28,25,0.0,2,3,3380,0,30,8742,628
8742,12,0,0,7,3,0,9,42,0,1.0,4,1,3380,0,30,8743,462
8743,1,0,0,5,3,0,9,20,0,1.0,4,1,3380,0,30,8744,320
8744,0,159,191,2,3,0,9,8,24,1.0,3,3,3380,0,30,8745,128
8745,0,140,204,0,3,0,9,55,24,0.0,3,3,3380,0,30,8746,55
8746,0,172,199,3,4,0,9,32,26,0.0,3,3,3380,0,30,8747,212
8747,2,0,0,3,4,0,9,21,0,0.0,4,1,3380,0,30,8748,201
8748,18,159,23,3,4,0,9,9,16,1.0,0,0,3380,0,30,8749,189
8749,18,153,15,2,4,0,9,11,15,0.0,0,0,3380,0,30,8750,131
8750,0,190,15,10,1,0,9,29,19,0.0,0,0,3383,0,13,8751,629
8751,0,115,28,7,1,0,9,9,11,0.0,0,0,3383,0,13,8752,429
8753,0,-154,197,6,1,0,9,9,25,1.0,2,3,3383,0,13,8754,369
8754,0,57,268,3,1,0,9,43,27,0.0,4,3,3383,0,13,8755,223
8755,0,-164,-18,1,1,0,9,37,16,0.0,1,0,3383,0,13,8756,97
8756,3,77,28,0,1,0,9,45,8,1.0,0,2,3383,0,13,8757,45
8757,0,-181,161,0,2,0,9,1,24,0.0,2,3,3383,0,13,8758,1
8758,0,-80,202,11,3,0,9,48,21,0.0,2,0,3383,0,13,8759,708
8759,0,-184,164,10,3,0,9,53,24,0.0,2,3,3383,0,13,8760,653
8760,0,-182,161,7,3,0,9,45,24,1.0,2,3,3383,0,13,8761,465
8761,0,136,132,7,3,0,9,2,18,0.0,3,0,3383,0,13,8762,422
8762,4,0,0,6,3,0,9,11,0,1.0,4,1,3383,0,13,8763,371
8763,0,103,176,2,3,0,9,59,20,0.0,3,0,3383,0,13,8764,179
8764,2,0,0,1,3,0,9,21,0,0.0,4,1,3383,0,13,8765,81
8765,0,-200,168,0,3,0,9,29,26,0.0,2,3,3383,0,13,8766,29
8766,0,-171,263,9,4,0,9,16,31,0.0,2,3,3383,0,13,8767,556
8767,0,163,243,6,4,0,9,27,29,1.0,3,3,3383,0,13,8768,387
8768,0,-182,160,6,4,0,9,8,24,0.0,2,3,3383,0,13,8769,368
8769,0,-225,179,5,4,0,9,10,28,0.0,2,3,3383,0,13,8770,310
8770,5,0,0,2,4,0,9,41,0,0.0,4,1,3383,0,13,8771,161
8771,0,46,245,1,4,0,9,15,24,0.0,4,3,3383,0,13,8772,75
8774,0,-163,151,10,2,0,9,15,22,1.0,2,0,3384,0,4,8775,615
8775,0,-80,243,6,2,0,9,31,25,0.0,2,3,3384,0,4,8776,391
8776,0,125,79,4,2,0,9,49,14,1.0,0,0,3384,0,4,8777,289
8778,0,-153,23,2,2,0,9,3,15,1.0,1,0,3384,0,4,8779,123
8779,0,195,176,11,3,0,9,15,26,0.0,3,3,3384,0,4,8780,675
8780,18,144,0,8,3,0,9,24,14,0.0,0,0,3384,0,4,8781,504
8781,0,97,156,7,3,0,9,59,18,0.0,3,0,3384,0,4,8782,479
8782,0,38,145,6,3,0,9,9,14,1.0,4,0,3384,0,4,8783,369
8783,8,-133,56,5,3,0,9,33,14,1.0,1,0,3384,0,4,8784,333
8784,8,-102,33,4,3,0,9,56,10,1.0,1,0,3384,0,4,8785,296
8786,0,69,176,3,3,0,9,49,18,1.0,3,0,3384,0,4,8787,229
8787,4,0,0,1,3,0,9,40,0,1.0,4,1,3384,0,4,8788,100
8788,18,-77,155,1,3,0,9,6,17,0.0,2,0,3384,0,4,8789,66
8789,0,-21,187,0,3,0,9,47,18,0.0,4,0,3384,0,4,8790,47
8790,3,-145,153,0,3,0,9,9,21,0.0,2,0,3384,0,4,8791,9
8791,0,-143,252,10,4,0,9,37,28,1.0,2,3,3384,0,4,8792,637
8792,0,167,155,10,4,0,9,1,22,0.0,3,0,3384,0,4,8793,601
8795,0,-182,187,7,4,0,9,49,26,0.0,2,3,3384,0,4,8796,469
8796,0,-100,132,6,4,0,9,4,16,0.0,2,0,3384,0,4,8797,364
8797,2,0,0,5,4,0,9,46,0,1.0,4,1,3384,0,4,8798,346
8798,0,51,260,3,4,0,9,55,26,0.0,4,3,3384,0,4,8799,235
8800,0,21,319,1,4,0,9,57,31,0.0,4,3,3384,0,4,8801,117
8801,18,143,69,11,1,0,9,11,15,1.0,0,0,3387,1,27,8802,671
8802,0,236,-3,9,1,0,9,5,23,0.0,0,4,3387,1,27,8803,545
8804,2,0,0,4,1,0,9,43,0,1.0,4,1,3387,1,27,8805,283
8805,0,-133,219,3,1,0,9,9,25,0.0,2,3,3387,1,27,8806,189
8806,0,194,156,5,2,0,9,2,24,0.0,3,3,3387,1,27,8807,302
8809,0,167,91,11,3,0,9,34,19,1.0,0,0,3387,1,27,8810,694
8810,0,94,160,9,3,0,9,14,18,1.0,3,0,3387,1,27,8811,554
8811,7,0,0,8,3,0,9,15,0,1.0,4,1,3387,1,27,8812,495
8812,2,0,0,7,3,0,9,41,0,0.0,4,1,3387,1,27,8813,461
8813,0,225,-6,6,3,0,9,7,22,0.0,0,4,3387,1,27,8814,367
8814,2,0,0,5,3,0,9,0,0,0.0,4,1,3387,1,27,8815,300
8815,0,146,214,4,3,0,9,53,25,0.0,3,3,3387,1,27,8816,293
8818,0,186,178,9,4,0,9,44,25,1.0,3,3,3387,1,27,8819,584
8819,0,84,146,9,4,0,9,9,16,1.0,3,0,3387,1,27,8820,549
8820,0,36,187,8,4,0,9,36,19,1.0,4,0,3387,1,27,8821,516
8821,0,238,59,8,4,0,9,3,24,0.0,0,4,3387,1,27,8822,483
8822,0,77,53,7,4,0,9,14,9,0.0,0,2,3387,1,27,8823,434
8823,2,0,0,6,4,0,9,58,0,0.0,4,1,3387,1,27,8824,418
8825,0,-138,140,4,4,0,9,46,19,0.0,2,0,3387,1,27,8826,286
8826,3,140,17,2,4,0,9,56,14,1.0,0,0,3387,1,27,8827,176
8827,0,120,164,1,4,0,9,7,20,1.0,3,0,3387,1,27,8828,67
8828,0,128,230,0,4,0,9,0,26,0.0,3,3,3387,1,27,8829,0
8830,4,0,0,10,1,0,9,55,0,0.0,4,1,3389,1,1,8831,655
8831,0,-158,23,3,1,0,9,59,15,0.0,1,0,3389,1,1,8832,239
8834,18,128,-3,0,1,0,9,5,12,1.0,0,0,3389,1,1,8835,5
8837,0,163,135,11,3,0,9,49,21,0.0,3,0,3389,1,1,8838,709
8838,0,62,252,7,3,0,9,41,25,1.0,4,3,3389,1,1,8839,461
8839,0,-238,22,7,3,0,9,11,23,0.0,1,6,3389,1,1,8840,431
8840,8,146,110,5,3,0,9,24,18,0.0,3,0,3389,1,1,8841,324
8841,0,-90,176,2,3,0,9,6,19,1.0,2,0,3389,1,1,8842,126
8842,0,-174,186,1,3,0,9,37,25,1.0,2,3,3389,1,1,8843,97
8844,0,-225,120,6,4,0,9,26,25,0.0,2,3,3389,1,1,8845,386
8845,0,161,128,5,4,0,9,1,20,0.0,3,0,3389,1,1,8846,301
8846,0,148,58,4,4,0,9,30,15,0.0,0,0,3389,1,1,8847,270
8847,4,0,0,3,4,0,9,1,0,1.0,4,1,3389,1,1,8848,181
8848,4,0,0,0,4,0,9,46,0,0.0,4,1,3389,1,1,8849,46
8849,0,100,233,11,1,0,9,29,25,1.0,3,3,3391,1,26,8850,689
8851,0,-184,105,6,1,0,9,47,21,1.0,1,0,3391,1,26,8852,407
8852,0,121,252,5,1,0,9,11,27,1.0,3,3,3391,1,26,8853,311
8853,0,1,250,3,1,0,9,53,25,0.0,4,3,3391,1,26,8854,233
8854,0,-141,163,2,1,0,9,0,21,0.0,2,0,3391,1,26,8855,120
8855,0,121,219,0,1,0,9,33,25,0.0,3,3,3391,1,26,8856,33
8856,0,-194,186,10,2,0,9,45,26,1.0,2,3,3391,1,26,8857,645
8857,4,0,0,9,2,0,9,5,0,0.0,4,1,3391,1,26,8858,545
8858,8,-67,194,7,2,0,9,1,20,1.0,2,0,3391,1,26,8859,421
8859,0,-199,178,6,2,0,9,24,26,0.0,2,3,3391,1,26,8860,384
8861,3,166,30,2,2,0,9,28,16,1.0,0,0,3391,1,26,8862,148
8862,7,0,0,0,2,0,9,33,0,1.0,4,1,3391,1,26,8863,33
8865,0,189,233,5,3,0,9,8,30,1.0,3,3,3391,1,26,8866,308
8866,8,121,128,3,3,0,9,4,17,1.0,3,0,3391,1,26,8867,184
8867,0,186,7,1,3,0,9,5,18,0.0,0,0,3391,1,26,8868,65
8869,0,-182,173,8,4,0,9,41,25,0.0,2,3,3391,1,26,8870,521
8870,2,0,0,7,4,0,9,33,0,1.0,4,1,3391,1,26,8871,453
8871,5,0,0,5,4,0,9,7,0,0.0,4,1,3391,1,26,8872,307
8873,5,0,0,3,4,0,9,26,0,1.0,4,1,3391,1,26,8874,206
8874,0,200,192,0,4,0,9,15,27,0.0,3,3,3391,1,26,8875,15
8875,0,235,66,0,4,0,9,6,24,0.0,0,4,3391,1,26,8876,6
8876,0,177,204,0,4,0,9,0,27,0.0,3,3,3391,1,26,8877,0
8877,23,18,51,9,1,0,9,17,5,1.0,4,2,3397,1,0,8878,557
8878,13,0,0,6,1,0,9,41,0,1.0,4,1,3397,1,0,8879,401
8880,0,141,212,4,2,0,9,4,25,1.0,3,3,3397,1,0,8881,244
8881,0,71,247,1,2,0,9,53,25,0.0,4,3,3397,1,0,8882,113
8882,0,117,230,0,2,0,9,43,25,0.0,3,3,3397,1,0,8883,43
8884,0,-84,174,7,3,0,9,50,19,0.0,2,0,3397,1,0,8885,470
8885,0,186,191,3,3,0,9,53,26,1.0,3,3,3397,1,0,8886,233
8886,0,-197,174,3,3,0,9,3,26,0.0,2,3,3397,1,0,8887,183
8889,0,130,156,7,4,0,9,44,20,0.0,3,0,3397,1,0,8890,464
8891,0,164,201,5,4,0,9,46,25,1.0,3,3,3397,1,0,8892,346
8893,0,0,210,4,4,0,9,6,21,1.0,4,0,3397,1,0,8894,246
8894,0,121,247,3,4,0,9,39,27,1.0,3,3,3397,1,0,8895,219
8895,0,128,229,2,4,0,9,46,26,1.0,3,3,3397,1,0,8896,166
8897,0,186,8,9,1,0,9,34,18,0.0,0,0,3399,1,7,8898,574
8898,1,0,0,5,1,0,9,58,0,1.0,4,1,3399,1,7,8899,358
8899,0,-113,224,4,1,0,9,59,25,1.0,2,3,3399,1,7,8900,299
8900,0,1,250,3,1,0,9,43,25,1.0,4,3,3399,1,7,8901,223
8901,0,194,163,2,1,0,9,38,25,0.0,3,3,3399,1,7,8902,158
8902,4,0,0,2,1,0,9,8,0,1.0,4,1,3399,1,7,8903,128
8903,0,172,104,0,1,0,9,0,20,0.0,0,0,3399,1,7,8904,0
8905,0,220,158,9,2,0,9,27,27,0.0,3,3,3399,1,7,8906,567
8906,0,172,107,7,2,0,9,12,20,0.0,0,0,3399,1,7,8907,432
8907,2,0,0,6,2,0,9,54,0,1.0,4,1,3399,1,7,8908,414
8908,0,-159,97,6,2,0,9,32,18,0.0,1,0,3399,1,7,8909,392
8910,0,110,0,11,3,0,9,19,11,1.0,0,0,3399,1,7,8911,679
8911,0,123,115,7,3,0,9,37,16,1.0,3,0,3399,1,7,8912,457
8912,0,-194,176,7,3,0,9,12,26,1.0,2,3,3399,1,7,8913,432
8913,0,143,107,10,4,0,9,41,17,0.0,3,0,3399,1,7,8914,641
8914,2,0,0,10,4,0,9,14,0,1.0,4,1,3399,1,7,8915,614
8915,0,-118,92,8,4,0,9,52,14,0.0,1,0,3399,1,7,8916,532
8916,8,-113,33,8,4,0,9,42,11,1.0,1,0,3399,1,7,8917,522
8918,0,-189,2,8,4,0,9,12,18,1.0,1,0,3399,1,7,8919,492
8919,0,130,72,6,4,0,9,47,14,0.0,0,0,3399,1,7,8920,407
8920,0,-130,214,5,4,0,9,36,25,1.0,2,3,3399,1,7,8921,336
8921,0,163,202,4,4,0,9,58,25,0.0,3,3,3399,1,7,8922,298
8922,1,0,0,4,4,0,9,33,0,1.0,4,1,3399,1,7,8923,273
8923,16,0,0,11,1,0,9,5,0,0.0,4,1,3400,0,3,8924,665
8924,0,169,117,4,1,0,9,57,20,1.0,0,0,3400,0,3,8925,297
8925,0,-135,163,4,1,0,9,26,21,0.0,2,0,3400,0,3,8926,266
8926,4,0,0,4,1,0,9,8,0,1.0,4,1,3400,0,3,8927,248
8927,0,128,143,3,1,0,9,32,19,0.0,3,0,3400,0,3,8928,212
8928,0,-94,258,0,1,0,9,55,27,1.0,2,3,3400,0,3,8929,55
8929,0,-105,153,11,2,0,9,47,18,0.0,2,0,3400,0,3,8930,707
8930,0,-172,201,11,2,0,9,6,26,1.0,2,3,3400,0,3,8931,666
8931,0,62,97,9,2,0,9,30,11,0.0,0,2,3400,0,3,8932,570
8932,0,164,187,9,2,0,9,0,24,1.0,3,3,3400,0,3,8933,540
8933,0,118,-11,8,2,0,9,31,11,1.0,0,0,3400,0,3,8934,511
8934,0,115,3,4,2,0,9,19,11,0.0,0,0,3400,0,3,8935,259
8935,4,0,0,3,2,0,9,18,0,1.0,4,1,3400,0,3,8936,198
8936,0,-149,138,1,2,0,9,36,20,0.0,2,0,3400,0,3,8937,96
8937,5,0,0,0,2,0,9,58,0,1.0,4,1,3400,0,3,8938,58
8941,7,0,0,11,4,0,9,52,0,1.0,4,1,3400,0,3,8942,712
8942,0,-8,261,8,4,0,9,5,26,0.0,4,3,3400,0,3,8943,485
8944,0,204,130,6,4,0,9,50,24,1.0,3,3,3400,0,3,8945,410
8945,0,-218,150,6,4,0,9,10,26,0.0,2,3,3400,0,3,8946,370
8946,0,-153,197,5,4,0,9,40,24,0.0,2,3,3400,0,3,8947,340
8947,0,140,-9,4,4,0,9,7,14,1.0,0,0,3400,0,3,8948,247
8950,0,-192,-3,2,4,0,9,41,19,0.0,1,0,3400,0,3,8951,161
8951,0,-191,8,1,4,0,9,42,19,0.0,1,0,3400,0,3,8952,102
8952,0,182,31,10,1,0,9,48,18,0.0,0,0,3402,1,28,8953,648
8953,4,0,0,8,1,0,9,47,0,0.0,4,1,3402,1,28,8954,527
8954,0,-168,217,8,1,0,9,32,27,1.0,2,3,3402,1,28,8955,512
8955,0,151,210,6,1,0,9,50,25,1.0,3,3,3402,1,28,8956,410
8956,0,177,199,6,1,0,9,19,26,0.0,3,3,3402,1,28,8957,379
8958,0,-159,201,1,1,0,9,52,25,0.0,2,3,3402,1,28,8959,112
8959,2,0,0,0,1,0,9,11,0,1.0,4,1,3402,1,28,8960,11
